                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4692,                0.80238,                 1.0194,                0.95988,                0.96875,                0.94952,                0.65629,                 1.2718,                0.68564,                0.86155,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4603,                0.78001,                 1.0081,                0.95853,                0.96875,                 0.9697,                0.67204,                 1.2268,                0.69391,                0.85372,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4243,                0.78378,                 1.0006,                0.92174,                 0.9375,                0.97955,                0.70943,                 1.2532,                0.74749,                0.87392,               0.001307,               0.001307,               0.001307
                     38,                 1.4712,                0.81307,                 1.0093,                0.96836,                0.96875,                0.98274,                0.73823,                 1.1575,                0.64331,                0.85736,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4008,                0.74904,                0.97589,                0.92631,                0.96875,                0.96569,                0.64353,                 1.2297,                0.75433,                  0.877,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3695,                0.73581,                0.99129,                0.90887,                0.96875,                0.97527,                0.66718,                 1.1697,                0.73503,                0.86264,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3672,                 0.7482,                 0.9816,                0.86707,                0.96875,                0.95348,                0.65273,                 1.1839,                0.65637,                0.85959,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2974,                0.78684,                0.92026,                0.79496,                0.96875,                0.89466,                0.56262,                  1.203,                 0.9916,                 0.8798,               0.001208,               0.001208,               0.001208
                     43,                 1.2665,                0.71965,                 0.9351,                0.86016,                 0.6875,                 0.8609,                0.53301,                 1.4669,                 1.4562,                0.93495,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.4235,                0.69701,                0.99459,                0.89374,                0.78125,                0.91271,                0.59455,                 1.4847,                  1.121,                  0.908,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.3602,                0.68159,                0.96195,                 0.9312,                0.96875,                0.98158,                0.71588,                 1.1585,                0.74956,                0.84705,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3435,                0.69046,                0.98724,                0.96839,                      1,                0.98652,                0.73837,                 1.2039,                 0.6524,                0.84985,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4194,                 0.7487,                0.99698,                 0.9411,                0.99865,                0.99042,                0.69111,                 1.2833,                0.71471,                0.87181,               0.001109,               0.001109,               0.001109
                     48,                  1.305,                0.67237,                   0.96,                0.95767,                0.96875,                0.98087,                0.69512,                 1.2076,                0.60751,                0.86155,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3519,                0.73973,                 0.9669,                0.95114,                0.96875,                0.97823,                0.67251,                 1.2313,                0.62364,                0.85658,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3537,                0.73061,                0.99155,                0.95119,                0.96875,                0.97063,                0.61266,                 1.1344,                0.65065,                0.83806,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.3122,                0.68224,                0.95088,                0.94096,                0.99629,                 0.9698,                0.59523,                 1.4396,                0.67768,                0.90205,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3663,                0.72434,                0.99386,                0.96301,                0.96875,                 0.9698,                 0.6828,                 1.1689,                0.58805,                0.84806,                0.00101,                0.00101,                0.00101
                     53,                 1.3897,                0.71501,                0.98291,                0.96745,                      1,                0.97439,                0.68813,                 1.1578,                0.62868,                0.86287,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.2787,                0.65097,                0.95044,                0.96964,                0.99824,                0.97227,                0.72788,                 1.0713,                 0.5593,                0.83226,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.2635,                0.68769,                0.97063,                0.94109,                0.99848,                0.96792,                0.72991,                 1.0342,                0.58614,                0.83137,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2787,                0.69999,                0.95052,                 0.9338,                      1,                0.96571,                 0.6905,                 1.1468,                0.64797,                0.84438,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.2853,                0.67976,                0.97095,                0.96591,                      1,                0.97894,                0.70117,                 1.1669,                0.58647,                0.85488,               0.000911,               0.000911,               0.000911
                     58,                 1.3051,                0.69947,                0.96148,                0.93823,                      1,                0.97534,                0.69745,                 1.2185,                0.62937,                0.85686,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.2878,                0.70662,                0.95017,                0.92426,                      1,                0.97534,                0.71124,                 1.1656,                0.66171,                0.85367,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3087,                 0.6848,                0.96923,                0.96953,                0.99435,                0.97045,                0.69237,                 1.0933,                0.61061,                 0.8286,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.2536,                0.69191,                 0.9579,                0.91079,                      1,                0.96156,                0.69452,                 1.1825,                0.60226,                0.84881,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.2761,                0.65823,                0.96079,                0.91339,                0.98892,                0.95729,                0.61239,                 1.2664,                0.68008,                0.86351,               0.000812,               0.000812,               0.000812
                     63,                 1.3211,                0.66988,                0.95833,                0.96761,                      1,                0.97045,                0.68699,                 1.1654,                0.63685,                0.85526,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4038,                 0.6825,                0.97031,                0.96575,                      1,                0.96864,                0.67043,                 1.1889,                 0.6548,                0.86434,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.2857,                0.69618,                0.97475,                0.96698,                      1,                0.97045,                0.68864,                 1.1184,                0.60922,                 0.8339,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.352,                0.68853,                0.98213,                0.96339,                      1,                 0.9753,                0.65982,                  1.271,                  0.683,                0.87047,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.1982,                0.65196,                0.94803,                0.93878,                      1,                0.96904,                0.71643,                 1.1647,                0.64468,                0.84672,               0.000713,               0.000713,               0.000713
                     68,                 1.3033,                0.72095,                0.93879,                0.96532,                      1,                0.97136,                0.72634,                 1.1241,                0.60264,                0.84011,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.3156,                0.66311,                0.94275,                0.96862,                      1,                0.96773,                 0.6924,                 1.2093,                0.61357,                0.85255,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.2003,                0.68097,                0.96856,                 0.9641,                      1,                0.96773,                0.72815,                 1.0957,                 0.5832,                0.83432,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.2357,                0.66963,                0.96288,                0.96262,                      1,                 0.9753,                0.67814,                 1.2482,                0.63796,                0.85205,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.2142,                 0.6493,                0.95129,                0.96957,                0.99587,                0.97348,                0.69793,                  1.122,                0.58599,                0.83779,               0.000614,               0.000614,               0.000614
                     73,                 1.2533,                0.64156,                0.94067,                0.96959,                0.99655,                0.97439,                0.71269,                 1.0933,                0.56729,                0.83092,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1932,                0.62958,                0.92588,                0.96077,                0.96875,                0.97899,                0.75423,                  1.105,                0.58457,                0.83907,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.1304,                0.74674,                0.89765,                0.90817,                      1,                0.97313,                0.71665,                 1.1629,                0.62693,                0.84311,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2057,                0.63371,                0.96095,                0.94103,                 0.9974,                0.96622,                0.70577,                 1.1057,                0.59769,                0.83707,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.3669,                0.67527,                0.94439,                 0.9696,                0.99687,                0.98197,                0.72634,                 1.0036,                0.59248,                0.83195,               0.000515,               0.000515,               0.000515
                     78,                 1.2112,                0.63553,                0.93674,                0.96569,                      1,                0.98288,                0.72066,                 1.1774,                0.62508,                0.85275,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1897,                0.63053,                 0.9335,                0.96577,                      1,                0.97712,                0.73478,                 1.1282,                0.61495,                0.84154,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2194,                0.63337,                0.96745,                0.96837,                      1,                0.97348,                0.74851,                 1.1059,                0.59953,                0.83159,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2277,                0.64402,                0.95659,                 0.9678,                      1,                0.96955,                0.73902,                 1.1013,                0.61569,                0.83632,              0.0004358,              0.0004358,              0.0004358
                     82,                  1.177,                0.65485,                 0.9294,                0.96548,                      1,                0.97621,                 0.7395,                 1.1261,                0.64294,                0.84861,               0.000416,               0.000416,               0.000416
                     83,                 1.1428,                0.61552,                0.94765,                0.96451,                      1,                 0.9753,                0.73178,                 1.0806,                 0.6472,                0.84643,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1837,                0.64042,                0.95002,                0.96688,                      1,                0.97439,                 0.7656,                 1.0696,                0.60082,                0.84084,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.153,                0.61605,                0.93191,                0.96559,                      1,                0.97227,                0.74072,                 1.1243,                0.58476,                 0.8434,              0.0003566,              0.0003566,              0.0003566
                     86,                  1.218,                0.64499,                0.95725,                0.96404,                      1,                0.96773,                0.69255,                 1.2415,                0.63994,                0.86253,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1838,                 0.6241,                0.93729,                0.96414,                      1,                0.96773,                0.68546,                 1.1954,                0.65388,                 0.8594,               0.000317,               0.000317,               0.000317
                     88,                 1.1082,                0.61114,                0.92703,                0.96762,                      1,                0.97045,                0.70694,                 1.0847,                0.59477,                0.83756,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1805,                0.64056,                0.92867,                0.96967,                0.99919,                0.97348,                0.72543,                 1.0842,                0.57755,                0.83685,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.1775,                0.68945,                0.95315,                0.96963,                0.99782,                0.97439,                0.72076,                 1.0646,                0.56307,                0.83383,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0023,                0.60407,                 0.8555,                0.96959,                      1,                 0.9753,                0.75617,                 1.0564,                0.55805,                0.82236,              0.0002378,              0.0002378,              0.0002378
                     92,                0.95772,                0.53942,                0.88509,                0.96449,                      1,                0.97985,                0.76452,                 1.0379,                0.57268,                0.82677,               0.000218,               0.000218,               0.000218
                     93,                 1.0138,                0.56043,                0.90035,                0.95971,                      1,                0.97621,                0.74417,                 1.0508,                0.60042,                0.83674,              0.0001982,              0.0001982,              0.0001982
                     94,                0.97545,                0.53272,                0.92526,                0.95541,                      1,                0.97348,                0.74232,                  1.109,                   0.59,                0.83785,              0.0001784,              0.0001784,              0.0001784
                     95,                0.98829,                0.51496,                0.90489,                0.96969,                0.99986,                0.97348,                 0.7411,                 1.1148,                0.59351,                0.84076,              0.0001586,              0.0001586,              0.0001586
                     96,                0.93072,                0.51677,                0.88004,                0.95915,                      1,                0.97439,                0.75417,                 1.0942,                 0.5806,                0.83724,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.0294,                0.53954,                0.89917,                0.96498,                      1,                0.97439,                0.74582,                  1.121,                 0.5884,                0.83878,               0.000119,               0.000119,               0.000119
                     98,                0.93513,                0.51318,                0.89718,                 0.9653,                      1,                0.97348,                0.74619,                 1.1086,                0.58011,                0.83475,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.91936,                0.49438,                0.90214,                0.96604,                      1,                0.97348,                0.74286,                 1.0969,                0.57195,                0.83706,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.0029,                0.50239,                0.89494,                 0.9653,                      1,                0.97227,                0.74477,                 1.0889,                0.56837,                0.83845,               5.96e-05,               5.96e-05,               5.96e-05
