                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3904,                0.74374,                 1.0105,                 0.9375,                      1,                0.96699,                0.69752,                 1.1976,                 0.6161,                0.85769,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.3474,                0.68833,                0.99421,                0.88123,                      1,                0.95433,                0.68374,                 1.2115,                0.63779,                0.85895,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.5062,                0.70322,                 1.0057,                0.96946,                0.99234,                0.96864,                0.63273,                 1.3135,                0.66003,                0.89038,               0.001307,               0.001307,               0.001307
                     38,                 1.4193,                0.72746,                0.99783,                0.90723,                0.91699,                0.96229,                0.66631,                 1.1646,                0.67858,                0.87057,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.408,                 0.7154,                0.97206,                0.96748,                0.92998,                0.97099,                0.67174,                 1.2665,                 0.6689,                0.87633,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.3965,                0.68726,                0.98931,                0.95344,                0.96875,                0.97135,                0.69178,                 1.2219,                0.63092,                0.87611,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.3525,                0.68659,                0.97635,                0.96947,                0.99257,                0.96682,                0.70717,                 1.1621,                0.52963,                 0.8478,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.2508,                0.81365,                0.91122,                0.93569,                      1,                0.97292,                0.65262,                 1.3761,                0.57661,                0.87122,               0.001208,               0.001208,               0.001208
                     43,                 1.2238,                0.73371,                0.93086,                0.96966,                0.99874,                0.97621,                0.70493,                  1.314,                0.55521,                0.86975,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.2684,                0.65688,                 0.9573,                0.78198,                 0.5605,                0.70779,                0.37544,                 1.5827,                 1.1286,                0.93901,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.2384,                0.63716,                0.93937,                0.81352,                0.34375,                0.40433,                 0.1908,                 1.8161,                 2.9576,                 1.0573,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3177,                0.64922,                0.98268,                0.95812,                 0.9375,                0.93673,                0.66017,                 1.2409,                0.62024,                0.85488,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.3063,                0.64428,                0.97721,                0.96583,                      1,                0.98561,                 0.7397,                   1.15,                0.53507,                 0.8502,               0.001109,               0.001109,               0.001109
                     48,                 1.2678,                0.63143,                0.95697,                0.96963,                      1,                 0.9753,                0.76199,                 1.0696,                 0.5434,                0.84439,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.2765,                0.64299,                0.95173,                0.95971,                      1,                0.96591,                0.72493,                 1.1378,                0.58035,                0.84787,              0.0010694,              0.0010694,              0.0010694
